"SoftPlot Measurement Presentation"
"Start", 3.000000000000000E+0005
"Stop", 6.000000000000000E+0009
"Points",801
"Point","X-Axis (Hz)","REF (re)","REF (im)","UUT (re)","UUT (im)","S13 (re)","S13 (im)"
59,615100.286643028259,-15.457514762878,0.000000000000,-68.624290466309,0.000000000000,53.166775703430,0.000000000000
60,622762.160874366760,-15.457064628601,0.000000000000,-68.480850219727,0.000000000000,53.023785591125,0.000000000000
61,630519.473728179932,-15.457968711853,0.000000000000,-68.516525268555,0.000000000000,53.058556556702,0.000000000000
62,638373.414004325867,-15.457590103149,0.000000000000,-68.611885070801,0.000000000000,53.154294967651,0.000000000000
63,646325.185323715210,-15.459870338440,0.000000000000,-68.557792663574,0.000000000000,53.097922325134,0.000000000000
64,654376.006299018860,-15.460770606995,0.000000000000,-68.536018371582,0.000000000000,53.075247764587,0.000000000000
65,662527.110712051392,-15.460521697998,0.000000000000,-68.640533447266,0.000000000000,53.180011749268,0.000000000000
66,670779.747745513916,-15.460796356201,0.000000000000,-68.494483947754,0.000000000000,53.033687591553,0.000000000000
67,679135.182107925415,-15.461261749268,0.000000000000,-68.612396240234,0.000000000000,53.151134490967,0.000000000000
68,687594.694275856018,-15.461695671082,0.000000000000,-68.473594665527,0.000000000000,53.011898994446,0.000000000000
69,696159.580671310425,-15.463047981262,0.000000000000,-68.456260681152,0.000000000000,52.993212699890,0.000000000000
70,704831.153869628906,-15.464072227478,0.000000000000,-68.580528259277,0.000000000000,53.116456031799,0.000000000000
71,713610.742780685425,-15.463894844055,0.000000000000,-68.551910400391,0.000000000000,53.088015556335,0.000000000000
72,722499.692905426025,-15.464585304260,0.000000000000,-68.377891540527,0.000000000000,52.913306236267,0.000000000000
73,731499.366466522217,-15.465533256531,0.000000000000,-68.738922119141,0.000000000000,53.273388862610,0.000000000000
74,740611.142669677734,-15.466041564941,0.000000000000,-68.601814270020,0.000000000000,53.135772705078,0.000000000000
75,749836.417899131775,-15.467557907104,0.000000000000,-68.415451049805,0.000000000000,52.947893142700,0.000000000000
76,759176.605932235718,-15.468285560608,0.000000000000,-68.520210266113,0.000000000000,53.051924705505,0.000000000000
77,768633.138144493103,-15.468913078308,0.000000000000,-68.588569641113,0.000000000000,53.119656562805,0.000000000000
78,778207.463780403137,-15.468915939331,0.000000000000,-68.604660034180,0.000000000000,53.135744094849,0.000000000000
79,787901.050097465515,-15.471289634705,0.000000000000,-68.580093383789,0.000000000000,53.108803749084,0.000000000000
80,797715.382641792297,-15.472084999084,0.000000000000,-68.512786865234,0.000000000000,53.040701866150,0.000000000000
81,807651.965465545654,-15.473501205444,0.000000000000,-68.524024963379,0.000000000000,53.050523757935,0.000000000000
82,817712.321341514587,-15.472085952759,0.000000000000,-68.570899963379,0.000000000000,53.098814010620,0.000000000000
83,827897.992050170898,-15.472624778748,0.000000000000,-68.399131774902,0.000000000000,52.926506996155,0.000000000000
84,838210.538537979126,-15.474115371704,0.000000000000,-68.636901855469,0.000000000000,53.162786483765,0.000000000000
85,848651.541208267212,-15.475548744202,0.000000000000,-68.383781433105,0.000000000000,52.908232688904,0.000000000000
86,859222.600149154663,-15.475425720215,0.000000000000,-68.524101257324,0.000000000000,53.048675537109,0.000000000000
87,869925.335380554199,-15.475658416748,0.000000000000,-68.542289733887,0.000000000000,53.066631317139,0.000000000000
88,880761.387086868286,-15.476084709167,0.000000000000,-68.657501220703,0.000000000000,53.181416511536,0.000000000000
89,891732.415929794312,-15.477481842041,0.000000000000,-68.535202026367,0.000000000000,53.057720184326,0.000000000000
90,902840.103207588196,-15.477704048157,0.000000000000,-68.580299377441,0.000000000000,53.102595329285,0.000000000000
91,914086.151181221008,-15.479022026062,0.000000000000,-68.534423828125,0.000000000000,53.055401802063,0.000000000000
